PMID	NUMSENT	REGULATOR	REGULATED	REGULATED_TYPE	REGULATED_GENE	REGULATED_TU	EFFECT	NORMALIZED_EFFECT	SENTENCE	regulator_regex	regulated_regex	regulator_count	regulated_count	regulator_plus_one	regulated_plus_one	regulator_regulated_plus_one	regulated_tag	regulator_tag	sentence_tagged
19906180	2	Lrp	argO	TU		argO	regulated	regulator	Summary In vivo and in vitro analyses indicate that transcription of the argO gene coding for an arginine exporter is regulated by the global transcriptional regulator Lrp , an effect that went by unnoticed in previous genome - scale screenings of the Lrp regulatory network in Escherichia coli .	\b[:punct:]?Lrp[:punct:]?\b	\b[:punct:]?argO[:punct:]?\b	2	1	True	False	True	@Regulated$	@TF$	Summary In vivo and in vitro analyses indicate that transcription of the @Regulated$ gene coding for an arginine exporter is regulated by the global transcriptional regulator @TF$ , an effect that went by unnoticed in previous genome - scale screenings of the Lrp regulatory network in Escherichia coli .
19906180	2	Lrp	argO	TU		argO	regulated	no_relation	Summary In vivo and in vitro analyses indicate that transcription of the argO gene coding for an arginine exporter is regulated by the global transcriptional regulator Lrp , an effect that went by unnoticed in previous genome - scale screenings of the Lrp regulatory network in Escherichia coli .	\b[:punct:]?Lrp[:punct:]?\b	\b[:punct:]?argO[:punct:]?\b	2	1	True	False	True	@Regulated$	@TF$	Summary In vivo and in vitro analyses indicate that transcription of the @Regulated$ gene coding for an arginine exporter is regulated by the global transcriptional regulator Lrp , an effect that went by unnoticed in previous genome - scale screenings of the @TF$ regulatory network in Escherichia coli .
11073923	8	CRP	rhaSR	TU		rhaSR	activation	activator	To address the mechanisms of activation by CRP and the RNA polymerase - subunit C - terminal domain ( - CTD ) at rhaSR , we tested the effects of alanine substitutions in CRP activating regions 1 and 2 , overexpression of a truncated version of ( - 235 ) , and alanine substitutions throughout - CTD .	\b[:punct:]?CRP[:punct:]?\b	\b[:punct:]?rhaSR[:punct:]?\b	2	1	True	False	True	@Regulated$	@TF$	To address the mechanisms of activation by @TF$ and the RNA polymerase - subunit C - terminal domain ( - CTD ) at @Regulated$ , we tested the effects of alanine substitutions in CRP activating regions 1 and 2 , overexpression of a truncated version of ( - 235 ) , and alanine substitutions throughout - CTD .
11073923	8	CRP	rhaSR	TU		rhaSR	activation	no_relation	To address the mechanisms of activation by CRP and the RNA polymerase - subunit C - terminal domain ( - CTD ) at rhaSR , we tested the effects of alanine substitutions in CRP activating regions 1 and 2 , overexpression of a truncated version of ( - 235 ) , and alanine substitutions throughout - CTD .	\b[:punct:]?CRP[:punct:]?\b	\b[:punct:]?rhaSR[:punct:]?\b	2	1	True	False	True	@Regulated$	@TF$	To address the mechanisms of activation by CRP and the RNA polymerase - subunit C - terminal domain ( - CTD ) at @Regulated$ , we tested the effects of alanine substitutions in @TF$ activating regions 1 and 2 , overexpression of a truncated version of ( - 235 ) , and alanine substitutions throughout - CTD .
17449618	9	NsrR	hmpA	TU		hmpA	represses	repressor	Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , ytfE , and ygbA genes that were previously shown to be regulated by NsrR .	\b[:punct:]?NsrR[:punct:]?\b	\b[:punct:]?hmpA[:punct:]?\b	2	1	True	False	True	@Regulated$	@TF$	Microarray analysis revealed that @TF$ represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the @Regulated$ , ytfE , and ygbA genes that were previously shown to be regulated by NsrR .
17449618	9	NsrR	hmpA	TU		hmpA	represses	no_relation	Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , ytfE , and ygbA genes that were previously shown to be regulated by NsrR .	\b[:punct:]?NsrR[:punct:]?\b	\b[:punct:]?hmpA[:punct:]?\b	2	1	True	False	True	@Regulated$	@TF$	Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the @Regulated$ , ytfE , and ygbA genes that were previously shown to be regulated by @TF$ .
9484892	9	Mlc	manX	TU		manX	repress	repressor	Plasmids overproducing either the NagC protein or the Mlc protein repress the expression of manX , but the effect of the Mlc protein is stronger .	\b[:punct:]?Mlc[:punct:]?\b	\b[:punct:]?manX[:punct:]?\b	2	1	True	False	True	@Regulated$	@TF$	Plasmids overproducing either the NagC protein or the @TF$ protein repress the expression of @Regulated$ , but the effect of the Mlc protein is stronger .
9484892	9	Mlc	manX	TU		manX	repress	no_relation	Plasmids overproducing either the NagC protein or the Mlc protein repress the expression of manX , but the effect of the Mlc protein is stronger .	\b[:punct:]?Mlc[:punct:]?\b	\b[:punct:]?manX[:punct:]?\b	2	1	True	False	True	@Regulated$	@TF$	Plasmids overproducing either the NagC protein or the Mlc protein repress the expression of @Regulated$ , but the effect of the @TF$ protein is stronger .
17449618	9	NsrR	ygbA	TU		ygbA	represses	repressor	Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , ytfE , and ygbA genes that were previously shown to be regulated by NsrR .	\b[:punct:]?NsrR[:punct:]?\b	\b[:punct:]?ygbA[:punct:]?\b	2	1	True	False	True	@Regulated$	@TF$	Microarray analysis revealed that @TF$ represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , ytfE , and @Regulated$ genes that were previously shown to be regulated by NsrR .
17449618	9	NsrR	ygbA	TU		ygbA	represses	no_relation	Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , ytfE , and ygbA genes that were previously shown to be regulated by NsrR .	\b[:punct:]?NsrR[:punct:]?\b	\b[:punct:]?ygbA[:punct:]?\b	2	1	True	False	True	@Regulated$	@TF$	Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , ytfE , and @Regulated$ genes that were previously shown to be regulated by @TF$ .
