PMID	REGULATOR	REGULATED	NORMALIZED_EFFECT	sentence_tagged
19906180	Lrp	argO	regulator	Summary In vivo and in vitro analyses indicate that transcription of the @Regulated$ gene coding for an arginine exporter is regulated by the global transcriptional regulator @TF$ , an effect that went by unnoticed in previous genome - scale screenings of the Lrp regulatory network in Escherichia coli .
19906180	Lrp	argO	no_relation	Summary In vivo and in vitro analyses indicate that transcription of the @Regulated$ gene coding for an arginine exporter is regulated by the global transcriptional regulator Lrp , an effect that went by unnoticed in previous genome - scale screenings of the @TF$ regulatory network in Escherichia coli .
11073923	CRP	rhaSR	activator	To address the mechanisms of activation by @TF$ and the RNA polymerase - subunit C - terminal domain ( - CTD ) at @Regulated$ , we tested the effects of alanine substitutions in CRP activating regions 1 and 2 , overexpression of a truncated version of ( - 235 ) , and alanine substitutions throughout - CTD .
11073923	CRP	rhaSR	no_relation	To address the mechanisms of activation by CRP and the RNA polymerase - subunit C - terminal domain ( - CTD ) at @Regulated$ , we tested the effects of alanine substitutions in @TF$ activating regions 1 and 2 , overexpression of a truncated version of ( - 235 ) , and alanine substitutions throughout - CTD .
17449618	NsrR	hmpA	repressor	Microarray analysis revealed that @TF$ represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the @Regulated$ , ytfE , and ygbA genes that were previously shown to be regulated by NsrR .
17449618	NsrR	hmpA	no_relation	Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the @Regulated$ , ytfE , and ygbA genes that were previously shown to be regulated by @TF$ .
9484892	Mlc	manX	repressor	Plasmids overproducing either the NagC protein or the @TF$ protein repress the expression of @Regulated$ , but the effect of the Mlc protein is stronger .
9484892	Mlc	manX	no_relation	Plasmids overproducing either the NagC protein or the Mlc protein repress the expression of @Regulated$ , but the effect of the @TF$ protein is stronger .
17449618	NsrR	ygbA	repressor	Microarray analysis revealed that @TF$ represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , ytfE , and @Regulated$ genes that were previously shown to be regulated by NsrR .
17449618	NsrR	ygbA	no_relation	Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , ytfE , and @Regulated$ genes that were previously shown to be regulated by @TF$ .
17449618	NsrR	ytfE	repressor	Microarray analysis revealed that @TF$ represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , @Regulated$ , and ygbA genes that were previously shown to be regulated by NsrR .
17449618	NsrR	ytfE	no_relation	Microarray analysis revealed that NsrR represses nine operons encoding 20 genes in Escherichia coli MG1655 , including the hmpA , @Regulated$ , and ygbA genes that were previously shown to be regulated by @TF$ .
15342598	RhaR	rhaSR	activator	In the present study , we first identified two positively charged amino acids in 70 , K593 and R599 , and three negatively charged amino acids in RhaR , D276 , E284 , and D285 , that were important for @TF$  - mediated transcription activation of the @Regulated$ operon .
15342598	RhaR	rhaSR	no_relation	In the present study , we first identified two positively charged amino acids in 70 , K593 and R599 , and three negatively charged amino acids in @TF$ , D276 , E284 , and D285 , that were important for  RhaR - mediated transcription activation of the @Regulated$ operon .
10601201	CRP	fucPIK	activator	We show that the mutant @TF$ constitutively activates transcription from both the IS5 - disrupted and the wild - type @Regulated$ promoters , and we identify the CRP - binding site that is required for this activity .
10601201	CRP	fucPIK	no_relation	We show that the mutant CRP constitutively activates transcription from both the IS5 - disrupted and the wild - type @Regulated$ promoters , and we identify the @TF$ - binding site that is required for this activity .
10601201	CRP	fucPIK	activator	Our results show that the @Regulated$ promoter , a complex promoter which ordinarily depends on both @TF$ and the fucose - specific regulator FucR for its activation , can be activated in the absence of FucR by a mutant CRP that uses three , rather than two , activating regions to contact RNA polymerase .
10601201	CRP	fucPIK	no_relation	Our results show that the @Regulated$ promoter , a complex promoter which ordinarily depends on both CRP and the fucose - specific regulator FucR for its activation, can be activated in the absence of FucR by a mutant @TF$ that uses three , rather than two , activating regions to contact RNA polymerase .
10601201	FucR	fucPIK	activator	Our results show that the @Regulated$ promoter , a complex promoter which ordinarily depends on both CRP and the fucose - specific regulator @TF$ for its activation , can be activated in the absence of FucR by a mutant CRP that uses three , rather than two , activating regions to contact RNA polymerase .
10601201	FucR	fucPIK	no_relation	Our results show that the @Regulated$ promoter , a complex promoter which ordinarily depends on both CRP and the fucose - specific regulator FucR for its activation , can be activated in the absence of @TF$ by a mutant CRP that uses three , rather than two , activating regions to contact RNA polymerase .
18227264	NarL	ydhY	repressor	Thus , although the region of the @Regulated$ â€“ T promoter containing the â€ 16 and + 15 heptamers was recognized by @TF$ in vitro , mutation of these heptamers did not affect NarL - mediated repression in vivo .
18227264	NarL	ydhY	no_relation	Thus , although the region of the @Regulated$ â€“ T promoter containing the â€ 16 and + 15 heptamers was recognized by NarL in vitro , mutation of these heptamers did not affect @TF$ - mediated repression in vivo .
18346968	MelR	melAB	regulator	MelR is a member of the AraC - XylS family of bacterial gene regulatory proteins ( 6 ) and our previous studies have shown that @TF$ , together with the cyclic AMP receptor protein , CRP , regulates expression of the @Regulated$ operon that encodes products essential for melibiose metabolism ( 7 ) .
18346968	MelR	melAB	no_relation	 @TF$ is a member of the AraC - XylS family of bacterial gene regulatory proteins ( 6 ) and our previous studies have shown that MelR , together with the cyclic AMP receptor protein , CRP , regulates expression of the @Regulated$ operon that encodes products essential for melibiose metabolism ( 7 ) .
9254708	IciA	dnaA	activator	In this report , we determined the cis - element responsible for the @TF$ - dependent activation of the @Regulated$ promoter 1P and the binding mode of IciA protein to the IciA I site .
9254708	IciA	dnaA	no_relation	In this report , we determined the cis - element responsible for the IciA - dependent activation of the @Regulated$ promoter 1P and the binding mode of @TF$ protein to the IciA I site .
9254708	IciA	dnaA	no_relation	In this report , we determined the cis - element responsible for the IciA - dependent activation of the @Regulated$ promoter 1P and the binding mode of IciA protein to the @TF$ I site .
16478729	Rob	marRAB	regulator	Transposon mutagenesis experiments aimed at defining the Rob regulon revealed eight @TF$ - regulated targets , namely inaA , @Regulated$ , aslB , ybaO , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	marRAB	no_relation	Transposon mutagenesis experiments aimed at defining the @TF$ regulon revealed eight Rob - regulated targets , namely inaA , @Regulated$ , aslB , ybaO , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
12067348	MarR	marA	repressor	 @Regulated$ expression is repressed by @TF$ and is derepressed by the interaction of MarR with various phenolic compounds such as salicylate .
12067348	MarR	marA	no_relation	 @Regulated$ expression is repressed by MarR and is derepressed by the interaction of @TF$ with various phenolic compounds such as salicylate .
16478729	Rob	aslB	regulator	Transposon mutagenesis experiments aimed at defining the Rob regulon revealed eight @TF$ - regulated targets , namely inaA , marRAB , @Regulated$ , ybaO , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
16478729	Rob	aslB	no_relation	Transposon mutagenesis experiments aimed at defining the @TF$ regulon revealed eight Rob - regulated targets , namely inaA , marRAB , @Regulated$ , ybaO , mdlA , yfhD , ybiS , and galT ( 10 ) , some of which are also known members of the mar and sox regulons ( 11 ) .
